Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60656,01/08/2021,65,496,17,404,0.014,48,92,0.003,28218,POINT (-87.817934 41.974566),60656-20210108
60619,01/10/2021,12,517,7,466,0.008,5,51,0.001,61207,POINT (-87.60569 41.744737),60619-20210110
60609,01/07/2021,52,597,36,572,0.009,16,25,0,60939,POINT (-87.653382 41.812017),60609-20210107
60607,12/28/2020,52,1061,52,1061,0.036,0,0,0,29293,POINT (-87.652727 41.876104),60607-20201228
60623,12/29/2020,50,302,50,302,0.004,0,0,0,81283,POINT (-87.717446 41.850321),60623-20201229
60644,01/02/2021,86,299,86,299,0.006,0,0,0,46591,POINT (-87.756863 41.881113),60644-20210102
60645,12/15/2020,0,0,0,0,0,0,0,0,47270,POINT (-87.695049 42.008927),60645-20201215
60621,12/19/2020,6,15,6,15,0.001,0,0,0,28018,POINT (-87.638812 41.776931),60621-20201219
60657,01/01/2021,4,2070,4,2070,0.029,0,0,0,70958,POINT (-87.658216 41.939715),60657-20210101
60639,12/16/2020,3,3,3,3,0,0,0,0,88204,POINT (-87.75531 41.920609),60639-20201216
60623,01/03/2021,7,414,7,414,0.005,0,0,0,81283,POINT (-87.717446 41.850321),60623-20210103
Unknown,01/31/2021,2,952,2,815,0,0,137,0,0,,Unknown-20210131
60666,12/20/2020,0,0,0,0,0,0,0,0,0,POINT (-87.896371 41.979511),60666-20201220
60601,12/30/2020,34,401,34,401,0.027,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201230
60601,01/31/2021,14,1844,11,1339,0.089,3,505,0.033,15083,POINT (-87.622844 41.886262),60601-20210131
60607,01/29/2021,161,5299,112,3596,0.123,49,1703,0.058,29293,POINT (-87.652727 41.876104),60607-20210129
60610,01/07/2021,108,1293,29,1185,0.029,79,108,0.003,40548,POINT (-87.63581 41.90455),60610-20210107
60611,01/17/2021,43,5012,11,3342,0.101,32,1670,0.05,33224,POINT (-87.620291 41.894734),60611-20210117
60614,12/26/2020,37,1321,37,1321,0.018,0,0,0,71954,POINT (-87.652064 41.922605),60614-20201226
60660,01/30/2021,98,4098,87,3336,0.075,11,762,0.017,44498,POINT (-87.666362 41.991062),60660-20210130
60827,02/17/2021,7,158,4,122,0.004,3,36,0.001,28483,POINT (-87.633087 41.650765),60827-20210217
